username,review,rating,date,likes,sentiment,language,case_folding,cleaning,token,stopword,stemming,processed_text
- Mohamad Azmi Nudin,Apk remote jobs dengan profesional yang baik,4,2026-03-09 19:20:52,6,positif,id,apk remote jobs dengan profesional yang baik,apk remote jobs dengan profesional yang baik,"['apk', 'remote', 'jobs', 'dengan', 'profesional', 'yang', 'baik']","['apk', 'remote', 'jobs', 'profesional']","['apk', 'remote', 'jobs', 'profesional']",apk remote jobs profesional
Haddaza Alexa,"secara umum menarik, sayang saya kesulitan masuk akun saya sendiri karena fungsi fitur lupa password nya, Kurang berfungsi",4,2026-03-09 04:50:01,0,positif,id,"secara umum menarik, sayang saya kesulitan masuk akun saya sendiri karena fungsi fitur lupa password nya, kurang berfungsi",secara umum menarik sayang saya kesulitan masuk akun saya sendiri karena fungsi fitur lupa password nya kurang berfungsi,"['secara', 'umum', 'menarik', 'sayang', 'saya', 'kesulitan', 'masuk', 'akun', 'saya', 'sendiri', 'karena', 'fungsi', 'fitur', 'lupa', 'password', 'nya', 'kurang', 'berfungsi']","['menarik', 'sayang', 'kesulitan', 'masuk', 'akun', 'fungsi', 'fitur', 'lupa', 'password', 'nya', 'berfungsi']","['tarik', 'sayang', 'sulit', 'masuk', 'akun', 'fungsi', 'fitur', 'lupa', 'password', 'nya', 'fungsi']",tarik sayang sulit masuk akun fungsi fitur lupa password nya fungsi
MUHAMMAD NUR ROHMAN,kepana saya tidak bisa membeli connect??? tidak muncul buy nya,3,2026-03-07 15:30:12,0,netral,id,kepana saya tidak bisa membeli connect??? tidak muncul buy nya,kepana saya tidak bisa membeli connect tidak muncul buy nya,"['kepana', 'saya', 'tidak', 'bisa', 'membeli', 'connect', 'tidak', 'muncul', 'buy', 'nya']","['kepana', 'membeli', 'connect', 'muncul', 'buy', 'nya']","['pana', 'beli', 'connect', 'muncul', 'buy', 'nya']",pana beli connect muncul buy nya
Raja Daulika,"very good, thank you",5,2026-02-27 03:45:57,0,positif,en,"very good, thank you",very good thank you,"['very', 'good', 'thank', 'you']","['good', 'thank']","['good', 'thank']",good thank
Muhammad Fakhri,I am disappointed that my account was suspended and the connection in it was lost without any refund.,1,2026-02-18 08:16:07,0,negatif,en,i am disappointed that my account was suspended and the connection in it was lost without any refund.,i am disappointed that my account was suspended and the connection in it was lost without any refund,"['i', 'am', 'disappointed', 'that', 'my', 'account', 'was', 'suspended', 'and', 'the', 'connection', 'in', 'it', 'was', 'lost', 'without', 'any', 'refund']","['disappointed', 'account', 'suspended', 'connection', 'lost', 'without', 'refund']","['disappoint', 'account', 'suspend', 'connect', 'lost', 'without', 'refund']",disappoint account suspend connect lost without refund
MD Gaming,bisa ngga ini filter nya ada bahasa Indonesia nya biar bisa dipahami,4,2026-02-10 23:00:33,0,positif,id,bisa ngga ini filter nya ada bahasa indonesia nya biar bisa dipahami,bisa ngga ini filter nya ada bahasa indonesia nya biar bisa dipahami,"['bisa', 'ngga', 'ini', 'filter', 'nya', 'ada', 'bahasa', 'indonesia', 'nya', 'biar', 'bisa', 'dipahami']","['ngga', 'filter', 'nya', 'bahasa', 'indonesia', 'nya', 'biar', 'dipahami']","['ngga', 'filter', 'nya', 'bahasa', 'indonesia', 'nya', 'biar', 'paham']",ngga filter nya bahasa indonesia nya biar paham
sintaa susilaaa,"My advice is that if the job vacancy we are applying for uses Connect, for example, 1 Connect to apply at Company B, and then Company B does not accept our application, my advice is to return the Connect, because not everyone has Connect, especially in Indonesia where it is quite expensive. Thank you :)",3,2026-01-30 04:55:52,0,netral,en,"my advice is that if the job vacancy we are applying for uses connect, for example, 1 connect to apply at company b, and then company b does not accept our application, my advice is to return the connect, because not everyone has connect, especially in indonesia where it is quite expensive. thank you :)",my advice is that if the job vacancy we are applying for uses connect for example  connect to apply at company b and then company b does not accept our application my advice is to return the connect because not everyone has connect especially in indonesia where it is quite expensive thank you,"['my', 'advice', 'is', 'that', 'if', 'the', 'job', 'vacancy', 'we', 'are', 'applying', 'for', 'uses', 'connect', 'for', 'example', 'connect', 'to', 'apply', 'at', 'company', 'b', 'and', 'then', 'company', 'b', 'does', 'not', 'accept', 'our', 'application', 'my', 'advice', 'is', 'to', 'return', 'the', 'connect', 'because', 'not', 'everyone', 'has', 'connect', 'especially', 'in', 'indonesia', 'where', 'it', 'is', 'quite', 'expensive', 'thank', 'you']","['advice', 'job', 'vacancy', 'applying', 'uses', 'connect', 'example', 'connect', 'apply', 'company', 'b', 'company', 'b', 'accept', 'application', 'advice', 'return', 'connect', 'everyone', 'connect', 'especially', 'indonesia', 'quite', 'expensive', 'thank']","['advic', 'job', 'vacanc', 'appli', 'use', 'connect', 'exampl', 'connect', 'appli', 'compani', 'b', 'compani', 'b', 'accept', 'applic', 'advic', 'return', 'connect', 'everyon', 'connect', 'especi', 'indonesia', 'quit', 'expens', 'thank']",advic job vacanc appli use connect exampl connect appli compani b compani b accept applic advic return connect everyon connect especi indonesia quit expens thank
Muhammad Riski,so easy to use 👍👍👍,5,2026-01-25 04:00:18,0,positif,en,so easy to use 👍👍👍,so easy to use,"['so', 'easy', 'to', 'use']","['easy', 'use']","['easi', 'use']",easi use
Salari fams,"bagus, semoga kedepannya bisa muncul di notification buat job terbaru yang baru di upload jdi bisa lebih gercep lg🤭",5,2026-01-20 11:08:01,30,positif,id,"bagus, semoga kedepannya bisa muncul di notification buat job terbaru yang baru di upload jdi bisa lebih gercep lg🤭",bagus semoga kedepannya bisa muncul di notification buat job terbaru yang baru di upload jdi bisa lebih gercep lg,"['bagus', 'semoga', 'kedepannya', 'bisa', 'muncul', 'di', 'notification', 'buat', 'job', 'terbaru', 'yang', 'baru', 'di', 'upload', 'jdi', 'bisa', 'lebih', 'gercep', 'lg']","['bagus', 'semoga', 'kedepannya', 'muncul', 'notification', 'job', 'terbaru', 'upload', 'jdi', 'gercep', 'lg']","['bagus', 'moga', 'depan', 'muncul', 'notification', 'job', 'baru', 'upload', 'jdi', 'gercep', 'lg']",bagus moga depan muncul notification job baru upload jdi gercep lg
Krisna Murti,"Sementara 4 dulu, masih belum dapat project soalnya",4,2026-01-18 09:28:42,1,positif,id,"sementara 4 dulu, masih belum dapat project soalnya",sementara  dulu masih belum dapat project soalnya,"['sementara', 'dulu', 'masih', 'belum', 'dapat', 'project', 'soalnya']",['project'],['project'],project
21 Dreams,the best way to search side hustle job,5,2026-01-14 08:59:13,0,positif,en,the best way to search side hustle job,the best way to search side hustle job,"['the', 'best', 'way', 'to', 'search', 'side', 'hustle', 'job']","['best', 'way', 'search', 'side', 'hustle', 'job']","['best', 'way', 'search', 'side', 'hustl', 'job']",best way search side hustl job
fury Yoga Pradana,Good Job on Upwork,5,2026-01-10 07:04:48,0,positif,en,good job on upwork,good job on upwork,"['good', 'job', 'on', 'upwork']","['good', 'job', 'upwork']","['good', 'job', 'upwork']",good job upwork
Habib Baihaqie 12,"Very bad, we pay for work?",1,2026-01-10 04:33:23,1,negatif,en,"very bad, we pay for work?",very bad we pay for work,"['very', 'bad', 'we', 'pay', 'for', 'work']","['bad', 'pay', 'work']","['bad', 'pay', 'work']",bad pay work
Nisa Sri Cahyanti,kenapa harus beli connect dulu 🥲,3,2026-01-08 06:01:37,0,netral,id,kenapa harus beli connect dulu 🥲,kenapa harus beli connect dulu,"['kenapa', 'harus', 'beli', 'connect', 'dulu']","['beli', 'connect']","['beli', 'connect']",beli connect
Irvan Rusdiansyah,Lebih baik memakai iklan daripada harus membayar connect. Karena connect belum tentu mendapatkan pekerjaan yang di apply,1,2026-01-07 23:51:09,1,negatif,id,lebih baik memakai iklan daripada harus membayar connect. karena connect belum tentu mendapatkan pekerjaan yang di apply,lebih baik memakai iklan daripada harus membayar connect karena connect belum tentu mendapatkan pekerjaan yang di apply,"['lebih', 'baik', 'memakai', 'iklan', 'daripada', 'harus', 'membayar', 'connect', 'karena', 'connect', 'belum', 'tentu', 'mendapatkan', 'pekerjaan', 'yang', 'di', 'apply']","['memakai', 'iklan', 'membayar', 'connect', 'connect', 'pekerjaan', 'apply']","['pakai', 'iklan', 'bayar', 'connect', 'connect', 'kerja', 'apply']",pakai iklan bayar connect connect kerja apply
Siti Hopsah,mau verifikasi identitas saja dipersulit,1,2026-01-06 17:39:12,0,negatif,id,mau verifikasi identitas saja dipersulit,mau verifikasi identitas saja dipersulit,"['mau', 'verifikasi', 'identitas', 'saja', 'dipersulit']","['verifikasi', 'identitas', 'dipersulit']","['verifikasi', 'identitas', 'sulit']",verifikasi identitas sulit
Anggraini Shinta,"My account appears to be suspended, but I did not receive any email explaining the reason or next steps. I would like to request clarification and understand whether any action is required from my side.",1,2025-12-29 23:04:04,0,negatif,en,"my account appears to be suspended, but i did not receive any email explaining the reason or next steps. i would like to request clarification and understand whether any action is required from my side.",my account appears to be suspended but i did not receive any email explaining the reason or next steps i would like to request clarification and understand whether any action is required from my side,"['my', 'account', 'appears', 'to', 'be', 'suspended', 'but', 'i', 'did', 'not', 'receive', 'any', 'email', 'explaining', 'the', 'reason', 'or', 'next', 'steps', 'i', 'would', 'like', 'to', 'request', 'clarification', 'and', 'understand', 'whether', 'any', 'action', 'is', 'required', 'from', 'my', 'side']","['account', 'appears', 'suspended', 'receive', 'email', 'explaining', 'reason', 'next', 'steps', 'would', 'like', 'request', 'clarification', 'understand', 'whether', 'action', 'required', 'side']","['account', 'appear', 'suspend', 'receiv', 'email', 'explain', 'reason', 'next', 'step', 'would', 'like', 'request', 'clarif', 'understand', 'whether', 'action', 'requir', 'side']",account appear suspend receiv email explain reason next step would like request clarif understand whether action requir side
ali muhtadi,sangat membantu,5,2025-12-27 19:58:19,0,positif,id,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],['bantu'],bantu
devia chantika,"stuck di pembuatan profile, upload foto gabisa terus. udah dari bulan bulan kemarin nyoba mesti error",1,2025-12-24 22:44:01,56,negatif,id,"stuck di pembuatan profile, upload foto gabisa terus. udah dari bulan bulan kemarin nyoba mesti error",stuck di pembuatan profile upload foto gabisa terus udah dari bulan bulan kemarin nyoba mesti error,"['stuck', 'di', 'pembuatan', 'profile', 'upload', 'foto', 'gabisa', 'terus', 'udah', 'dari', 'bulan', 'bulan', 'kemarin', 'nyoba', 'mesti', 'error']","['stuck', 'pembuatan', 'profile', 'upload', 'foto', 'gabisa', 'udah', 'kemarin', 'nyoba', 'mesti', 'error']","['stuck', 'buat', 'profile', 'upload', 'foto', 'gabisa', 'udah', 'kemarin', 'nyoba', 'mesti', 'error']",stuck buat profile upload foto gabisa udah kemarin nyoba mesti error
IkaSyntha Crypto,banyak kerjaan yang pelamar banyak tapi yang di buka dikit bahkan ada yang pelamar 300+ tetapi satupun tidak ada yang dibuka. Harus beli Connect supaya bisa melamar.,3,2025-12-22 07:48:05,12,netral,id,banyak kerjaan yang pelamar banyak tapi yang di buka dikit bahkan ada yang pelamar 300+ tetapi satupun tidak ada yang dibuka. harus beli connect supaya bisa melamar.,banyak kerjaan yang pelamar banyak tapi yang di buka dikit bahkan ada yang pelamar  tetapi satupun tidak ada yang dibuka harus beli connect supaya bisa melamar,"['banyak', 'kerjaan', 'yang', 'pelamar', 'banyak', 'tapi', 'yang', 'di', 'buka', 'dikit', 'bahkan', 'ada', 'yang', 'pelamar', 'tetapi', 'satupun', 'tidak', 'ada', 'yang', 'dibuka', 'harus', 'beli', 'connect', 'supaya', 'bisa', 'melamar']","['kerjaan', 'pelamar', 'buka', 'dikit', 'pelamar', 'satupun', 'dibuka', 'beli', 'connect', 'melamar']","['kerja', 'lamar', 'buka', 'dikit', 'lamar', 'satu', 'buka', 'beli', 'connect', 'lamar']",kerja lamar buka dikit lamar satu buka beli connect lamar
Helbi PP,"akun saya tidak bisa membeli connect, tombol buy hilang mulu meskipun sudah refresh tolong perbaiki saya mau mulai bekerja saya minta tolong secepatnya, terimakasih",2,2025-12-21 00:00:03,15,negatif,id,"akun saya tidak bisa membeli connect, tombol buy hilang mulu meskipun sudah refresh tolong perbaiki saya mau mulai bekerja saya minta tolong secepatnya, terimakasih",akun saya tidak bisa membeli connect tombol buy hilang mulu meskipun sudah refresh tolong perbaiki saya mau mulai bekerja saya minta tolong secepatnya terimakasih,"['akun', 'saya', 'tidak', 'bisa', 'membeli', 'connect', 'tombol', 'buy', 'hilang', 'mulu', 'meskipun', 'sudah', 'refresh', 'tolong', 'perbaiki', 'saya', 'mau', 'mulai', 'bekerja', 'saya', 'minta', 'tolong', 'secepatnya', 'terimakasih']","['akun', 'membeli', 'connect', 'tombol', 'buy', 'hilang', 'mulu', 'refresh', 'tolong', 'perbaiki', 'tolong', 'secepatnya', 'terimakasih']","['akun', 'beli', 'connect', 'tombol', 'buy', 'hilang', 'mulu', 'refresh', 'tolong', 'baik', 'tolong', 'cepat', 'terimakasih']",akun beli connect tombol buy hilang mulu refresh tolong baik tolong cepat terimakasih
Bang Legend,great at fooling everyone,1,2025-12-10 22:07:52,0,negatif,en,great at fooling everyone,great at fooling everyone,"['great', 'at', 'fooling', 'everyone']","['great', 'fooling', 'everyone']","['great', 'fool', 'everyon']",great fool everyon
ngobrolin produk,a lot of conpetition,3,2025-12-01 09:04:02,0,netral,en,a lot of conpetition,a lot of conpetition,"['a', 'lot', 'of', 'conpetition']","['lot', 'conpetition']","['lot', 'conpetit']",lot conpetit
fatuy berulah,Not recommended. Too many scammers & it costs a lot of money if you're unlucky enough to get hired.,1,2025-11-24 22:50:59,0,negatif,en,not recommended. too many scammers & it costs a lot of money if you're unlucky enough to get hired.,not recommended too many scammers  it costs a lot of money if youre unlucky enough to get hired,"['not', 'recommended', 'too', 'many', 'scammers', 'it', 'costs', 'a', 'lot', 'of', 'money', 'if', 'youre', 'unlucky', 'enough', 'to', 'get', 'hired']","['recommended', 'many', 'scammers', 'costs', 'lot', 'money', 'youre', 'unlucky', 'enough', 'get', 'hired']","['recommend', 'mani', 'scammer', 'cost', 'lot', 'money', 'your', 'unlucki', 'enough', 'get', 'hire']",recommend mani scammer cost lot money your unlucki enough get hire
Chantel Cooley,"plis, udah 6 jam desain logo ternyata harus bayar dulu biar list lamaran.",1,2025-11-23 13:40:44,4,negatif,id,"plis, udah 6 jam desain logo ternyata harus bayar dulu biar list lamaran.",plis udah  jam desain logo ternyata harus bayar dulu biar list lamaran,"['plis', 'udah', 'jam', 'desain', 'logo', 'ternyata', 'harus', 'bayar', 'dulu', 'biar', 'list', 'lamaran']","['plis', 'udah', 'jam', 'desain', 'logo', 'bayar', 'biar', 'list', 'lamaran']","['plis', 'udah', 'jam', 'desain', 'logo', 'bayar', 'biar', 'list', 'lamar']",plis udah jam desain logo bayar biar list lamar
